time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0],, fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X," X,", X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1137,0,0,1,11001100010,0,1,1,0,0,1,1,0,0,0,1,0,0,0,-134,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,-14,"-14,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0, 
1138,0,0,1,11001011000,0,1,1,0,0,1,0,1,1,0,0,0,0,0,-79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,-147,"-147,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1, 
1139,0,0,1,11001001111,0,1,1,0,0,1,0,0,1,1,1,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-49,"-49,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1, 
1140,0,0,1,11001000101,0,1,1,0,0,1,0,0,0,1,0,1,0,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,96,"96,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, 
1141,0,0,1,11000111011,0,1,1,0,0,0,1,1,1,0,1,1,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,116,"116,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0, 
1142,0,0,1,11000110001,0,1,1,0,0,0,1,1,0,0,0,1,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,-67,"-67,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1, 
1143,0,0,1,11000100111,0,1,1,0,0,0,1,0,0,1,1,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-197,"-197,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
1144,0,0,1,11000011101,0,1,1,0,0,0,0,1,1,1,0,1,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,62,"62,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0, 
1145,0,0,1,11000010011,0,1,1,0,0,0,0,1,0,0,1,1,0,0,-59,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,231,"231,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1, 
1146,0,0,1,11000001001,0,1,1,0,0,0,0,0,1,0,0,1,0,0,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,-64,"-64,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0, 
1147,0,0,1,10111111110,0,1,0,1,1,1,1,1,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-197,"-197,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
1148,0,0,1,10111110100,0,1,0,1,1,1,1,1,0,1,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,37,"37,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1, 
1149,0,0,1,10111101010,0,1,0,1,1,1,1,0,1,0,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,137,"137,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1, 
1150,0,0,1,10111011111,0,1,0,1,1,1,0,1,1,1,1,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,33,"33,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, 
1151,0,0,1,10111010100,0,1,0,1,1,1,0,1,0,1,0,0,0,0,-102,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,-90,"-90,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0, 
1152,0,0,1,10111001010,0,1,0,1,1,1,0,0,1,0,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-123,"-123,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1, 
1153,0,0,1,10110111111,0,1,0,1,1,0,1,1,1,1,1,1,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,85,"85,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1, 
1154,0,0,1,10110110100,0,1,0,1,1,0,1,1,0,1,0,0,0,0,-108,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,201,"201,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1, 
1155,0,0,1,10110101001,0,1,0,1,1,0,1,0,1,0,0,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-79,"-79,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1, 
1156,0,0,1,10110011110,0,1,0,1,1,0,0,1,1,1,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-223,"-223,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1, 
1157,0,0,1,10110010011,0,1,0,1,1,0,0,1,0,0,1,1,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,77,"77,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1, 
1158,0,0,1,10110001000,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,193,"193,",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1, 
1159,0,0,1,10101111101,0,1,0,1,0,1,1,1,1,1,0,1,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-54,"-54,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0, 
1160,0,0,1,10101110001,0,1,0,1,0,1,1,1,0,0,0,1,0,0,-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-137,"-137,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1, 
1161,0,0,1,10101100110,0,1,0,1,0,1,1,0,0,1,1,0,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,-30,"-30,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0, 
1162,0,0,1,10101011011,0,1,0,1,0,1,0,1,1,0,1,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,97,"97,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
1163,0,0,1,10101001111,0,1,0,1,0,1,0,0,1,1,1,1,0,0,-141,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,121,"121,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1, 
1164,0,0,1,10101000100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,-88,"-88,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0, 
1165,0,0,1,10100111000,0,1,0,1,0,0,1,1,1,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-171,"-171,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1, 
1166,0,0,1,10100101101,0,1,0,1,0,0,1,0,1,1,0,1,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,102,"102,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0, 
1167,0,0,1,10100100001,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-47,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,206,"206,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0, 
1168,0,0,1,10100010110,0,1,0,1,0,0,0,1,0,1,1,0,0,0,-198,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,-96,"-96,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0, 
1169,0,0,1,10100001010,0,1,0,1,0,0,0,0,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-204,"-204,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0, 
1170,0,0,1,10011111110,0,1,0,0,1,1,1,1,1,1,1,0,0,0,212,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,57,"57,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1, 
1171,0,0,1,10011110010,0,1,0,0,1,1,1,1,0,0,1,0,0,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,145,"145,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1, 
1172,0,0,1,10011100110,0,1,0,0,1,1,1,0,0,1,1,0,0,0,-190,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,23,"23,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1, 
1173,0,0,1,10011011010,0,1,0,0,1,1,0,1,1,0,1,0,0,0,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-120,"-120,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0, 
1174,0,0,1,10011001111,0,1,0,0,1,1,0,0,1,1,1,1,0,0,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-102,"-102,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0, 
1175,0,0,1,10011000011,0,1,0,0,1,1,0,0,0,0,1,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,115,"115,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1, 
1176,0,0,1,10010110111,0,1,0,0,1,0,1,1,0,1,1,1,0,0,-76,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,161,"161,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1, 
1177,0,0,1,10010101011,0,1,0,0,1,0,1,0,1,0,1,1,0,0,-167,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,-124,"-124,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0, 
1178,0,0,1,10010011111,0,1,0,0,1,0,0,1,1,1,1,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-178,"-178,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0, 
1179,0,0,1,10010010010,0,1,0,0,1,0,0,1,0,0,1,0,0,0,212,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,96,"96,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, 
1180,0,0,1,10010000110,0,1,0,0,1,0,0,0,0,1,1,0,0,0,-42,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,173,"173,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1, 
1181,0,0,1,10001111010,0,1,0,0,0,1,1,1,1,0,1,0,0,0,-214,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,-33,"-33,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1, 
1182,0,0,1,10001101110,0,1,0,0,0,1,1,0,1,1,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-158,"-158,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0, 
1183,0,0,1,10001100010,0,1,0,0,0,1,1,0,0,0,1,0,0,0,193,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-21,"-21,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1, 
1184,0,0,1,10001010110,0,1,0,0,0,1,0,1,0,1,1,0,0,0,-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,154,"154,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
1185,0,0,1,10001001010,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-137,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,75,"75,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
1186,0,0,1,10000111101,0,1,0,0,0,0,1,1,1,1,0,1,0,0,-60,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,-142,"-142,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
1187,0,0,1,10000110001,0,1,0,0,0,0,1,1,0,0,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-116,"-116,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0, 
1188,0,0,1,10000100101,0,1,0,0,0,0,1,0,0,1,0,1,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,121,"121,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1, 
1189,0,0,1,10000011001,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-65,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,148,"148,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0, 
1190,0,0,1,10000001100,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-217,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,-80,"-80,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0, 
1191,0,0,1,10000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-167,"-167,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1, 
1192,0,0,1,1111110100,0,0,1,1,1,1,1,1,0,1,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,30,"30,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0, 
1193,0,0,1,1111101000,0,0,1,1,1,1,1,0,1,0,0,0,0,0,-51,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,187,"187,",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1, 
1194,0,0,1,1111011011,0,0,1,1,1,1,0,1,1,0,1,1,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,15,"15,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1, 
1195,0,0,1,1111001111,0,0,1,1,1,1,0,0,1,1,1,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-186,"-186,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0, 
1196,0,0,1,1111000011,0,0,1,1,1,1,0,0,0,0,1,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-44,"-44,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0, 
1197,0,0,1,1110110110,0,0,1,1,1,0,1,1,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,151,"151,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1, 
1198,0,0,1,1110101010,0,0,1,1,1,0,1,0,1,0,1,0,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,77,"77,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1, 
1199,0,0,1,1110011110,0,0,1,1,1,0,0,1,1,1,1,0,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,-121,"-121,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1, 
1200,0,0,1,1110010010,0,0,1,1,1,0,0,1,0,0,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-115,"-115,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1, 
1201,0,0,1,1110000101,0,0,1,1,1,0,0,0,0,1,0,1,0,0,198,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,65,"65,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1, 
1202,0,0,1,1101111001,0,0,1,1,0,1,1,1,1,0,0,1,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,167,"167,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1, 
1203,0,0,1,1101101101,0,0,1,1,0,1,1,0,1,1,0,1,0,0,-212,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,-18,"-18,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0, 
1204,0,0,1,1101100001,0,0,1,1,0,1,1,0,0,0,0,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-208,"-208,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0, 
1205,0,0,1,1101010101,0,0,1,1,0,1,0,1,0,1,0,1,0,0,190,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,4,"4,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
1206,0,0,1,1101001001,0,0,1,1,0,1,0,0,1,0,0,1,0,0,-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,217,"217,",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1, 
1207,0,0,1,1100111101,0,0,1,1,0,0,1,1,1,1,0,1,0,0,-137,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,9,"9,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, 
1208,0,0,1,1100110000,0,0,1,1,0,0,1,1,0,0,0,0,0,0,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,-178,"-178,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0, 
1209,0,0,1,1100100100,0,0,1,1,0,0,1,0,0,1,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,-37,"-37,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1, 
1210,0,0,1,1100011000,0,0,1,1,0,0,0,1,1,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,114,"114,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0, 
1211,0,0,1,1100001100,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,97,"97,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
1212,0,0,1,1100000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-172,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,-50,"-50,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0, 
1213,0,0,1,1011110101,0,0,1,0,1,1,1,1,0,1,0,1,0,0,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,-145,"-145,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1, 
1214,0,0,1,1000111001,0,0,1,0,0,0,1,1,1,0,0,1,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,24,"24,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
1215,0,0,1,1011011101,0,0,1,0,1,1,0,1,1,1,0,1,0,0,-66,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,224,"224,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0, 
1216,0,0,1,1011010001,0,0,1,0,1,1,0,1,0,0,0,1,0,0,-175,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,-20,"-20,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0, 
1217,0,0,1,1011000101,0,0,1,0,1,1,0,0,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-231,"-231,",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1, 
1218,0,0,1,1010111001,0,0,1,0,1,0,1,1,1,0,0,1,0,0,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,22,"22,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0, 
1219,0,0,1,1010101110,0,0,1,0,1,0,1,0,1,1,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,185,"185,",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1, 
1220,0,0,1,1010100010,0,0,1,0,1,0,1,0,0,0,1,0,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,13,"13,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
1221,0,0,1,1010010111,0,0,1,0,1,0,0,1,0,1,1,1,0,0,-121,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,-118,"-118,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0, 
1222,0,0,1,1010001011,0,0,1,0,1,0,0,0,1,0,1,1,0,0,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-82,"-82,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0, 
1223,0,0,1,1010000000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,53,"53,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1, 
1224,0,0,1,1001110100,0,0,1,0,0,1,1,1,0,1,0,0,0,0,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,172,"172,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0, 
1225,0,0,1,1001101001,0,0,1,0,0,1,1,0,1,0,0,1,0,0,-170,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,-39,"-39,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1, 
1226,0,0,1,1001011110,0,0,1,0,0,1,0,1,1,1,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-227,"-227,",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1, 
1227,0,0,1,1001010010,0,0,1,0,0,1,0,1,0,0,1,0,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,46,"46,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0, 
1228,0,0,1,1001000111,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,"228,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0, 
1229,0,0,1,1000111100,0,0,1,0,0,0,1,1,1,1,0,0,0,0,-190,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,-35,"-35,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1, 
1230,0,0,1,1000110001,0,0,1,0,0,0,1,1,0,0,0,1,0,0,-37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-178,"-178,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0, 
1231,0,0,1,1000100110,0,0,1,0,0,0,1,0,0,1,1,0,0,0,186,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,-3,"-3,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1, 
1232,0,0,1,1000011011,0,0,1,0,0,0,0,1,1,0,1,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116,"116,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0, 
1233,0,0,1,1000010000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-176,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,72,"72,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0, 
1234,0,0,1,1000000101,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,-70,"-70,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0, 
1235,0,0,1,111111011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-161,"-161,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1, 
1236,0,0,1,111110000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,61,"61,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1, 
1237,0,0,1,111100101,0,0,0,1,1,1,1,0,0,1,0,1,0,0,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,212,"212,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0, 
1238,0,0,1,111011011,0,0,0,1,1,1,0,1,1,0,1,1,0,0,-178,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,-61,"-61,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1, 
